category	filename	sha256	bytes
architecture	banner_cloth.prompt.txt	c2f577f595fbd3a01443cb65c80b24928d91bf634c1dd0a6392c63bc91bd430c	581
architecture	banner_torn.prompt.txt	2c0696b535e7c48b71e55da49a4c3d7879964282722c2a31345afa5854a8b974	656
architecture	barrel.prompt.txt	bc80dee5db7352160a3d5bee926febcd9720178cdf88b598919db0e6394cb6a9	595
architecture	bookshelf.prompt.txt	ac125b1c810fe0b340161c0738e8c6984fe3d4294bced86f219d15bddf91e32a	640
architecture	bridge_rope.prompt.txt	fbcd30b6122ad0734c2667f1bde1190a146334c408218d8c030f66fa2c479345	605
architecture	bridge_stone.prompt.txt	9fa632528629b08e2e9d7f4edaae29f3ddbdc8756175c114232335aef3ed10f1	618
architecture	ceiling_cave.prompt.txt	5bbb1237b9e0f1f524c971e57245da72b86d93219652d642b2ce8403254217e2	627
architecture	ceiling_stone_arch.prompt.txt	93698c3c80a32976dc1524f1e2e316858ec4e8e4c4ff05945b34523345717f33	566
architecture	ceiling_wood_beam.prompt.txt	ef09ecfdd5f45230bb9b52b32d99752b2f22735f944568fb65c7a6c27313808e	583
architecture	chandelier.prompt.txt	4933ac720d9decdf836c31ed2860b533c0ae9381d7594a1673e37a78f1fa7e28	628
architecture	crate_wood.prompt.txt	d0d6fdb596f3510046e61eb4726d9c9ee21bd2158c222b4772121a874fc73457	581
architecture	door_iron.prompt.txt	1fb65958f5bb8f7689fdf849fe7f26ebf339dc69de42214419a8f557dec6180c	543
architecture	door_ornate.prompt.txt	38cdc0b4aa49936793c03767cf022b674ca824980b6de47e5873379ea1eb0353	625
architecture	door_prison.prompt.txt	70bdecbaad17df4c6c6a3f41d6cb21b2c1c5b86a75dde2483b858254434e506b	618
architecture	door_secret.prompt.txt	96ea38a5b0d001b9780ac64534b2f3204ac2f062d0cbc6691554ea3b9f80d517	572
architecture	door_wood.prompt.txt	798a817575913fa9bac3f08fa0ba09cf66b0bcdab01be3a43fddeab0e4f47083	584
architecture	floor_dirt_cellar.prompt.txt	2915189381231a123500a162af0650f5ae50419601b6e4261f6c659e94d6cde2	589
architecture	floor_marble_checker.prompt.txt	2a7a75aaa6ca9341690f8f879b62813a7630fa5a25637e4fd692f6b2902bebe1	655
architecture	floor_tile_mosaic.prompt.txt	34e92f0050d2ed312520019b41ad975fdcdc9e0193d0a60d82b73502abe31098	637
architecture	floor_tile_stone.prompt.txt	36eeaa53398aae53cf9a7f924e58dec544631cbf61033c1ae81098892781c99e	625
architecture	floor_wood.prompt.txt	d2a88b4718cb1df77c9baeebe61d6b12ed7a7709ecc1c7775e0410457ff66124	608
architecture	fountain_basin.prompt.txt	28a454d12f4d40bb6006bb2553dceb2a76c171f2fcb28323c8a469b2b1f4c10b	561
architecture	pillar_marble.prompt.txt	10c8e0282f71375a44e52ee4e1b5f4faf41e24d7c091d0d81f92c2a016b7c9a4	560
architecture	pillar_ruined.prompt.txt	639e81ad432c4de3ff33dfa7d079f7665972e99fb88cf61781d0fcc6d854bd82	642
architecture	pillar_stone.prompt.txt	b7df78d95bad22759bf4d648541efbdfad8111a0a0a9f9703976d12965d63cc2	644
architecture	rug_royal.prompt.txt	dc54225a1e0f249a5478cc7f956766fdcb6ef74dffa61563ac9a5f5d8c7819b8	551
architecture	rug_woven.prompt.txt	5d29e5100c4d15a5dcc812b0fdd408990ace1469ea93a375f4ae686f35e2cbd7	596
architecture	stairs_spiral.prompt.txt	043fdae140117924a5029ca5378a5e2a75fe4cf8cda99c4c9470c1e30464870b	615
architecture	stairs_stone.prompt.txt	2847b00a4b873d317c54f5b2a5a8e1f459d32ff5233cd94aeba503a126c31c41	543
architecture	stairs_wood.prompt.txt	a4aaee7c39fb81a06a563abe0e4a7c58071eecc780efacef49229f7fa94a25f6	593
architecture	torch_sconce.prompt.txt	09aa2ae743e09861d8e64e7b571c9b1885f8b4e4dfff5428d009eb4f379033d1	567
architecture	well_stone.prompt.txt	196208deaffa8159e30a83ce8e086162a951f8ddc99bb02bccea5c759945bb05	639
architecture	window_arrow_slit.prompt.txt	8590f73f8d8256603d17a7d09989143464ad3459303c2af4e4cde459a973766d	609
architecture	window_broken.prompt.txt	7defb14e2a05d774e66c22d12553221002256a4772bfca2948c717c9ad89308c	616
architecture	window_stained_glass.prompt.txt	551f7c775fbf9da7bf2822ebe8604d4dfcd488fc042e95497cf2a5faaca27c78	622
atlas_ground	ash_cold_settled.prompt.txt	29686e4dd9d2e8035adb3ec147cb1ea78a4974384cedae9d1123094a6889d430	598
atlas_ground	ash_ember_hot.prompt.txt	31661ea86bae3881340b32b71dce42ec0d85092983da48c033db8541059da486	602
atlas_ground	ash_grey_volcanic.prompt.txt	92ca3315324fb1767bb7188e231e62cc73ad59d6b60c171c91fdd2a29163e4e9	585
atlas_ground	cave_floor_bone.prompt.txt	883f8d16948663e8e61f2cfe488771a53f5c835d719235939c838495046c2b70	591
atlas_ground	cave_floor_crystal.prompt.txt	22c17d7dfb2712d154a237e22d5f529ec90eae9aea59a0b858c8993d0d8d6e2b	661
atlas_ground	cave_floor_dry.prompt.txt	28881f3ed70f0d5d5a37f24f107852138a05599218729186c9870c17fec428ca	554
atlas_ground	cave_floor_wet.prompt.txt	b1ca1f9963719178064a4affe749fceceb349d69dd2dacd5271e0ffb632502cd	587
atlas_ground	cinder_dark.prompt.txt	26553d4af691d4c23107a14e1aa0ba331020e29098936e6ee44bf5aa8ec3a7d6	568
atlas_ground	dirt_clay_grey.prompt.txt	0aeef844d9e9b0566d609cdec3af95a4c937870dfce8bce356b4c2d740d7087c	544
