asset_path	category	material_name	channel	format	width	height	mode	size_bytes	sha256	is_primary_160
atlas/hexagons_dark_fantasy.png	atlas	hexagons_dark_fantasy	hex_atlas	PNG	1024	1024	RGB	7866	dd0baa024a16afca23e3973c015671a49d3699f078ad04ef397a1a032411a26e	true
atlas/hexagons_golden_age.png	atlas	hexagons_golden_age	hex_atlas	PNG	1024	1024	RGB	7599	5ed1f33c1713d60c85ead660682f5860a902a33f6a9db98f3ba5b877f21cea73	true
banners/hollowden_pack_banner_golden.png	banners	hollowden_pack_banner_golden	faction_banner	PNG	1024	1024	RGB	1466400	da018bbe767a26986007fc3ceb6078e954ed390edb4cc11dd29fbec134dc226a	true
banners/ironmoor_trade_banner_golden.png	banners	ironmoor_trade_banner_golden	faction_banner	PNG	1024	1024	RGB	1443293	a32adaa0a8116c210ff917cbada1e481b83829239ded69dafdfac2f69646f834	true
banners/murkveil_cult_banner_decay.png	banners	murkveil_cult_banner_decay	faction_banner	PNG	1024	1024	RGB	1351181	090b4052ccd2017c2c338b30523accc32b4b9850efa1b79b6d4d6de982c857c8	true
banners/thornhaven_guard_banner_golden.png	banners	thornhaven_guard_banner_golden	faction_banner	PNG	1024	1024	RGB	1507720	2bcf747ad414d1f136259d7647e57a1a2475fbe8daa55a3ce5a174e31246c62d	true
grass_albedo.jpg	root	grass_albedo	standalone_texture	JPEG	1024	1024	RGB	1126361	510f521f6ae2002ee20d481fd83d51837204d2a629167a2ae89e1a11fc0cc19f	false
grass_albedo.png	root	grass_albedo	standalone_texture	PNG	1024	1024	RGB	2848310	3b27a09aec051c96710b4785e245f8b50ad6e1c66bb156a5b77ba9d63db33dd8	true
maps/thornhaven_cutaway.png	maps	thornhaven_cutaway	world_map	PNG	1024	768	RGB	1222025	ea4634d216ad186e790726dd93d3eabe735cc89110ee52cbb5c26ec8f0082cb5	true
maps/thornhaven_full.png	maps	thornhaven_full	world_map	PNG	1024	1024	RGB	2195521	e69477aa8bbb72fa2b6fb48a51547ed51b1396a5b122d46b2adafaa7a0a427f6	true
maps/thornhaven_isometric.png	maps	thornhaven_isometric	world_map	PNG	1024	768	RGB	1952622	8b01ffc9a0b29a8bc0b63de97208ec2f917ab8bc63944eefb73f26f9bb4b021c	true
maps/thornhaven_overhead.png	maps	thornhaven_overhead	world_map	PNG	1024	1024	RGB	1855794	712c2192322fa966bfe1756adc2c8c908a720aafc6ae9e57565c8062e778c7f2	true
materials/cobblestone_all.png	materials	cobblestone_all	material_composite	PNG	1024	1024	RGB	2038276	59be6fbd9f53f3a44e959b155f54d893f779f210f06f5593ff4d811f39121bc8	true
materials/corrupted_stone_decay.png	materials	corrupted_stone_decay	material_composite	PNG	1024	1024	RGB	1736106	7e77abd9ef1812f3dc601e274b0fb3f7655747f5ddb083ca7c09ed42c99b4f01	true
materials/iron_metal_all.png	materials	iron_metal_all	material_composite	PNG	1024	1024	RGB	1748787	256dd429e4a69f8c31a89cb5a536cf8f72ea9fdae613a1e60d4980bea562e0c9	true
materials/raw_earth_ancient.png	materials	raw_earth_ancient	material_composite	PNG	1024	1024	RGB	1982187	226c4361d1127aa6a476d47a0faa779e27a39f5546ad2b3143fbef5bf4b30ffa	true
materials/stone_wall_all.png	materials	stone_wall_all	material_composite	PNG	1024	1024	RGB	2128910	e45f1a6f420d4057f8bdc00b0e4fbac53284c8c8a6621508d9f464f2c88e3f3b	true
materials/void_grid_void.png	materials	void_grid_void	material_composite	PNG	1024	1024	RGB	1326524	4e0005b891387ccdae49db9a6f3dcdd2ad6bbb4b0000ddb9286c83c7d4d86bd0	true
materials/wood_planks_all.png	materials	wood_planks_all	material_composite	PNG	1024	1024	RGB	1908783	964bc232ea07adc12fef830a3436e636b6d92bdc18ed0cc947b229bbe551db77	true
pbr/brick/dark/Bricks049.png	pbr/brick/dark	Bricks049	albedo_preview	PNG	512	512	RGBA	360364	2a76743d68332c6f687cc733772dfbce3635f8fde0fc411056c7f209bd1010e9	true
pbr/brick/dark/Bricks049_1K-JPG_AmbientOcclusion.jpg	pbr/brick/dark	Bricks049	AmbientOcclusion	JPEG	1024	1024	L	765754	6d54e4203d47166c3e701a193b43ce2b075aa60f7f3160f39d73ff60f9f31780	false
pbr/brick/dark/Bricks049_1K-JPG_Color.jpg	pbr/brick/dark	Bricks049	Color	JPEG	1024	1024	RGB	1032964	b960d1d775261939144ccb8c7fcc113efaa0b3fb86dc3a882994a96f1fd12b46	false
pbr/brick/dark/Bricks049_1K-JPG_Displacement.jpg	pbr/brick/dark	Bricks049	Displacement	JPEG	1024	1024	L	617027	f08f874db5c3b230de49b26c62152763f93a1946957492b79ebfc9c25d96c30b	false
pbr/brick/dark/Bricks049_1K-JPG_NormalDX.jpg	pbr/brick/dark	Bricks049	NormalDX	JPEG	1024	1024	RGB	2239723	909cbac151390fe1567c6ec7bba0c36b8ef49652b3d67a4c7902f9366997eefe	false
pbr/brick/dark/Bricks049_1K-JPG_NormalGL.jpg	pbr/brick/dark	Bricks049	NormalGL	JPEG	1024	1024	RGB	2242148	528d63a523960ab716b62fc5042a782c9a43fb3ff86fb9176d549d15b335901b	false
pbr/brick/dark/Bricks049_1K-JPG_Roughness.jpg	pbr/brick/dark	Bricks049	Roughness	JPEG	1024	1024	L	745650	179131498298efa85f22ce8b5bd7d4d3a11387cfd191d83d270f7e9857a417a9	false
pbr/brick/old/Bricks037.png	pbr/brick/old	Bricks037	albedo_preview	PNG	512	512	RGBA	422344	d8d1589c07046b31afb9071861ea49a59c9c567c031cc4933a2afddcbe3eb82d	true
pbr/brick/old/Bricks037_1K-JPG_AmbientOcclusion.jpg	pbr/brick/old	Bricks037	AmbientOcclusion	JPEG	1024	1024	L	323441	f60829847235d15ab3b7ed3fe3fd919c386ad78504361a36756e0547ffa44088	false
pbr/brick/old/Bricks037_1K-JPG_Color.jpg	pbr/brick/old	Bricks037	Color	JPEG	1024	1024	RGB	1616084	a7e2bd27c1e2c9e967a8d7456a17f1b7b3059f5e25400e684826d9cf39642a86	false
